Dept,Circo,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,SUM of Blanc,SUM of Nul,SUM of Total des votes exprimés,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,94 - 2,413,29,111,43,309,505,21,10,11,1431,28.86,2.03,7.76,3.00,21.59,35.29,1.47
,94 - 6,2015,95,481,316,760,2068,56,23,16,5791,34.80,1.64,8.31,5.46,13.12,35.71,0.97
,94 - 10,815,48,310,122,550,1398,33,28,17,3276,24.88,1.47,9.46,3.72,16.79,42.67,1.01
95,95 - 7,911,46,210,85,488,851,23,20,21,2614,34.85,1.76,8.03,3.25,18.67,32.56,0.88
,95 - 1,818,48,231,111,508,963,32,15,11,2711,30.17,1.77,8.52,4.09,18.74,35.52,1.18
,95 - 2,789,44,214,88,441,860,22,11,12,2458,32.10,1.79,8.71,3.58,17.94,34.99,0.90
,95 - 3,1065,59,240,141,671,1193,33,19,13,3402,31.31,1.73,7.05,4.14,19.72,35.07,0.97
,95 - 6,917,54,213,111,515,861,17,8,15,2688,34.11,2.01,7.92,4.13,19.16,32.03,0.63
,95 - 4,1015,53,229,124,585,1114,30,10,17,3150,32.22,1.68,7.27,3.94,18.57,35.37,0.95
,95 - 5,671,31,138,55,551,777,26,14,26,2249,29.84,1.38,6.14,2.45,24.50,34.55,1.16
,95 - 8,390,19,47,27,255,290,9,6,9,1037,37.61,1.83,4.53,2.60,24.59,27.97,0.87
,95 - 9,604,25,106,44,580,502,19,16,13,1880,32.13,1.33,5.64,2.34,30.85,26.70,1.01
,95 - 10,925,57,213,103,579,1039,25,23,10,2941,31.45,1.94,7.24,3.50,19.69,35.33,0.85
2A,2A - 1,628,45,86,32,209,424,17,6,7,1441,43.58,3.12,5.97,2.22,14.50,29.42,1.18
,2A - 2,98,5,10,7,51,93,2,1,2,266,36.84,1.88,3.76,2.63,19.17,34.96,0.75
2B,2B - 1,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,2B - 2,0,0,0,0,0,0,0,0,0,0,,,,,,,
