Dept,Circo,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,SUM of Blanc,SUM of Nul,SUM of Total des votes exprimés,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,29 - 5,1337,64,183,175,509,1979,24,30,26,4271,31.30,1.50,4.28,4.10,11.92,46.34,0.56
,29 - 6,1102,61,162,154,464,1986,34,30,20,3963,27.81,1.54,4.09,3.89,11.71,50.11,0.86
,29 - 7,1175,65,186,106,469,1686,34,27,26,3721,31.58,1.75,5.00,2.85,12.60,45.31,0.91
,29 - 8,1471,67,184,164,586,1926,43,37,30,4441,33.12,1.51,4.14,3.69,13.20,43.37,0.97
30,30 - 2,974,58,148,73,482,835,27,23,18,2597,37.50,2.23,5.70,2.81,18.56,32.15,1.04
,30 - 4,876,48,150,85,543,951,27,11,17,2680,32.69,1.79,5.60,3.17,20.26,35.49,1.01
,30 - 5,1357,83,222,129,691,1566,43,17,29,4091,33.17,2.03,5.43,3.15,16.89,38.28,1.05
,30 - 3,992,119,155,89,671,960,18,18,20,3004,33.02,3.96,5.16,2.96,22.34,31.96,0.60
,30 - 1,887,56,175,108,432,980,28,17,8,2666,33.27,2.10,6.56,4.05,16.20,36.76,1.05
,30 - 6,799,53,155,101,437,893,32,17,14,2470,32.35,2.15,6.28,4.09,17.69,36.15,1.30
31,31 - 8,1251,83,148,89,642,1097,39,19,28,3349,37.35,2.48,4.42,2.66,19.17,32.76,1.16
,31 - 5,1300,96,274,99,705,1244,35,18,26,3753,34.64,2.56,7.30,2.64,18.78,33.15,0.93
,31 - 7,1799,160,369,174,1027,2133,48,45,24,5710,31.51,2.80,6.46,3.05,17.99,37.36,0.84
,31 - 10,2048,139,549,243,1073,2315,64,58,34,6431,31.85,2.16,8.54,3.78,16.68,36.00,1.00
,31 - 3,620,31,134,55,256,579,16,12,7,1691,36.66,1.83,7.92,3.25,15.14,34.24,0.95
,31 - 1,1009,114,257,110,610,1326,27,25,22,3453,29.22,3.30,7.44,3.19,17.67,38.40,0.78
,31 - 2,1452,99,264,160,636,1087,37,27,22,3735,38.88,2.65,7.07,4.28,17.03,29.10,0.99
,31 - 6,2231,123,399,228,1038,2053,58,44,42,6130,36.39,2.01,6.51,3.72,16.93,33.49,0.95
,31 - 9,2128,150,511,279,1259,2926,60,61,44,7313,29.10,2.05,6.99,3.82,17.22,40.01,0.82
,31 - 4,2522,160,751,354,1273,3897,64,57,32,9021,27.96,1.77,8.33,3.92,14.11,43.20,0.71
32,32 - 1,1442,116,216,88,573,1483,44,29,29,3962,36.40,2.93,5.45,2.22,14.46,37.43,1.11
,32 - 2,1106,110,211,90,526,1098,33,21,16,3174,34.85,3.47,6.65,2.84,16.57,34.59,1.04
33,33 - 2,2133,142,663,387,1026,3835,73,42,38,8259,25.83,1.72,8.03,4.69,12.42,46.43,0.88
,33 - 1,595,25,96,74,260,654,7,16,8,1711,34.77,1.46,5.61,4.32,15.20,38.22,0.41
,33 - 12,786,54,165,86,426,953,23,17,15,2493,31.53,2.17,6.62,3.45,17.09,38.23,0.92
,33 - 10,1052,57,224,103,562,1104,38,37,28,3140,33.50,1.82,7.13,3.28,17.90,35.16,1.21
,33 - 11,901,41,144,104,580,878,25,14,21,2673,33.71,1.53,5.39,3.89,21.70,32.85,0.94
,33 - 9,1237,61,259,128,664,1401,55,24,24,3805,32.51,1.60,6.81,3.36,17.45,36.82,1.45
,33 - 4,1598,99,269,149,845,1705,52,56,34,4717,33.88,2.10,5.70,3.16,17.91,36.15,1.10
,33 - 5,1400,74,258,146,830,1427,42,51,34,4177,33.52,1.77,6.18,3.50,19.87,34.16,1.01
,33 - 3,991,54,246,127,597,1653,34,27,22,3702,26.77,1.46,6.65,3.43,16.13,44.65,0.92
,33 - 7,1733,108,405,227,824,1849,39,59,23,5185,33.42,2.08,7.81,4.38,15.89,35.66,0.75
,33 - 8,1455,62,283,167,671,1354,42,25,45,4034,36.07,1.54,7.02,4.14,16.63,33.56,1.04
,33 - 6,1998,105,406,218,985,2209,59,61,33,5980,33.41,1.76,6.79,3.65,16.47,36.94,0.99
34,34 - 4,1474,117,289,158,875,1896,62,34,39,4871,30.26,2.40,5.93,3.24,17.96,38.92,1.27
,34 - 3,1786,138,366,204,853,1994,47,40,25,5388,33.15,2.56,6.79,3.79,15.83,37.01,0.87
,34 - 7,1219,104,271,85,700,1091,29,21,26,3499,34.84,2.97,7.75,2.43,20.01,31.18,0.83
,34 - 8,1327,105,254,167,851,1788,29,26,31,4521,29.35,2.32,5.62,3.69,18.82,39.55,0.64
,34 - 5,1295,101,195,109,722,1298,40,27,23,3760,34.44,2.69,5.19,2.90,19.20,34.52,1.06
,34 - 6,972,53,134,55,434,732,27,15,11,2407,40.38,2.20,5.57,2.29,18.03,30.41,1.12
,34 - 9,774,43,123,85,386,754,23,14,11,2188,35.37,1.97,5.62,3.88,17.64,34.46,1.05
,34 - 1,903,47,153,72,466,971,25,20,13,2637,34.24,1.78,5.80,2.73,17.67,36.82,0.95
,34 - 2,1285,89,323,172,694,2182,47,31,17,4792,26.82,1.86,6.74,3.59,14.48,45.53,0.98
35,35 - 6,867,59,178,121,524,1290,29,12,25,3068,28.26,1.92,5.80,3.94,17.08,42.05,0.95
,35 - 4,785,46,151,128,473,1328,32,10,14,2943,26.67,1.56,5.13,4.35,16.07,45.12,1.09
,35 - 2,1698,91,430,307,775,2339,39,34,46,5679,29.90,1.60,7.57,5.41,13.65,41.19,0.69
,35 - 1,986,54,220,149,486,1358,25,17,6,3278,30.08,1.65,6.71,4.55,14.83,41.43,0.76
,35 - 5,869,49,181,149,523,1359,27,12,18,3157,27.53,1.55,5.73,4.72,16.57,43.05,0.86
,35 - 7,1573,90,277,195,677,1703,50,27,31,4565,34.46,1.97,6.07,4.27,14.83,37.31,1.10
,35 - 8,3311,206,866,546,1606,5754,115,57,78,12404,26.69,1.66,6.98,4.40,12.95,46.39,0.93
,35 - 3,745,53,160,121,373,1155,23,11,9,2630,28.33,2.02,6.08,4.60,14.18,43.92,0.87
36,36 - 2,743,44,152,69,550,867,21,15,19,2446,30.38,1.80,6.21,2.82,22.49,35.45,0.86
,36 - 1,681,37,118,61,383,655,22,22,12,1957,34.80,1.89,6.03,3.12,19.57,33.47,1.12
37,37 - 2,959,59,226,125,604,1129,36,20,17,3138,30.56,1.88,7.20,3.98,19.25,35.98,1.15
,37 - 4,968,49,197,103,889,1173,35,30,14,3414,28.35,1.44,5.77,3.02,26.04,34.36,1.03
,37 - 5,1004,59,197,121,629,1051,32,26,11,3093,32.46,1.91,6.37,3.91,20.34,33.98,1.03
,37 - 3,1115,54,236,120,686,1229,29,17,19,3469,32.14,1.56,6.80,3.46,19.78,35.43,0.84
,37 - 1,1113,67,252,155,521,1515,33,25,10,3656,30.44,1.83,6.89,4.24,14.25,41.44,0.90
38,38 - 10,864,42,165,93,485,974,23,25,10,2646,32.65,1.59,6.24,3.51,18.33,36.81,0.87
,38 - 3,1196,70,250,146,673,1702,41,44,26,4078,29.33,1.72,6.13,3.58,16.50,41.74,1.01
,38 - 4,1235,78,248,150,583,1305,47,42,24,3646,33.87,2.14,6.80,4.11,15.99,35.79,1.29
,38 - 7,736,48,132,78,402,767,26,19,15,2189,33.62,2.19,6.03,3.56,18.36,35.04,1.19
,38 - 5,1554,80,345,205,840,1840,39,32,24,4903,31.69,1.63,7.04,4.18,17.13,37.53,0.80
,38 - 1,1580,87,392,226,643,1965,49,37,33,4942,31.97,1.76,7.93,4.57,13.01,39.76,0.99
,38 - 8,739,37,184,94,449,814,19,20,12,2336,31.64,1.58,7.88,4.02,19.22,34.85,0.81
,38 - 6,528,49,115,75,357,651,27,11,11,1802,29.30,2.72,6.38,4.16,19.81,36.13,1.50
,38 - 9,1251,106,294,181,776,1654,30,36,19,4292,29.15,2.47,6.85,4.22,18.08,38.54,0.70
,38 - 2,1116,79,249,128,586,1163,34,24,19,3355,33.26,2.35,7.42,3.82,17.47,34.66,1.01
39,39 - 3,550,29,111,57,546,617,21,7,9,1931,28.48,1.50,5.75,2.95,28.28,31.95,1.09
,39 - 1,532,28,119,58,665,624,19,14,11,2045,26.01,1.37,5.82,2.84,32.52,30.51,0.93
,39 - 2,217,17,56,32,177,312,24,2,1,835,25.99,2.04,6.71,3.83,21.20,37.37,2.87
40,40 - 3,1166,74,206,72,553,1662,34,26,33,3767,30.95,1.96,5.47,1.91,14.68,44.12,0.90
,40 - 1,1318,55,297,83,615,1754,37,36,25,4159,31.69,1.32,7.14,2.00,14.79,42.17,0.89
,40 - 2,1676,79,317,152,752,1903,49,35,27,4928,34.01,1.60,6.43,3.08,15.26,38.62,0.99
41,41 - 1,842,65,119,125,433,1171,30,18,22,2785,30.23,2.33,4.27,4.49,15.55,42.05,1.08
,41 - 3,547,28,87,72,301,640,12,4,8,1687,32.42,1.66,5.16,4.27,17.84,37.94,0.71
,41 - 2,839,60,142,84,482,835,28,17,18,2470,33.97,2.43,5.75,3.40,19.51,33.81,1.13
42,42 - 1,957,68,184,98,508,1388,23,22,17,3226,29.67,2.11,5.70,3.04,15.75,43.03,0.71
,42 - 2,487,35,98,53,269,653,9,7,13,1604,30.36,2.18,6.11,3.30,16.77,40.71,0.56
,42 - 3,724,49,140,73,442,747,18,13,10,2193,33.01,2.23,6.38,3.33,20.16,34.06,0.82
,42 - 4,710,51,131,74,499,859,14,15,13,2338,30.37,2.18,5.60,3.17,21.34,36.74,0.60
,42 - 6,701,37,120,86,461,923,26,10,12,2354,29.78,1.57,5.10,3.65,19.58,39.21,1.10
,42 - 5,855,40,167,101,658,960,25,26,18,2806,30.47,1.43,5.95,3.60,23.45,34.21,0.89
43,43 - 2,379,19,54,29,203,381,8,2,6,1073,35.32,1.77,5.03,2.70,18.92,35.51,0.75
