Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
75,75|1,,,32.54,1.774,10.71,5.508,10.53,37.98,0.93
,75|11,,,38.72,1.859,12.85,4.931,10.42,29.26,1.94
,75|12,,,32.12,1.638,10.39,5.012,13.6,36.44,0.79
,75|13,,,29.88,1.811,10.08,4.59,13.32,39.37,0.92
,75|14,,,43.76,2.242,10.27,4.717,11.85,26.03,1.1
,75|15,,,23.26,1.484,8.92,3.874,12.94,48.51,1
,75|16,,,24.49,1.614,8.589,4.248,13.59,46.66,0.79
,75|17,,,21.74,1.648,7.452,3.703,14.25,50.06,1.12
,75|18,,,23.37,1.243,9.592,4.45,13.19,47.14,0.99
,75|2,,,35.96,1.99,12.43,5.107,12.32,30.97,1.2
,75|3,,,30.84,1.783,8.764,4.913,13.12,39.87,0.68
,75|4,,,42.63,2.222,10.34,4.513,11.18,27.63,1.45
,75|5,,,24.72,1.479,11.51,4.776,10.85,45.5,1.14
,75|6,,,18.39,1.418,8.377,3.679,11.61,55.31,1.19
,75|7,,,26.26,1.691,10.49,5.477,13.3,41.77,1.01
,75|8,,,28.59,1.639,10.17,4.546,13.34,40.78,0.91
,75|9,,,28.34,1.807,10.44,4.581,14.47,39.55,0.79
76,76|1,,,27.41,1.62,8.157,4.051,14.12,43.7,0.91
,76|10,,,30.36,2.373,6.135,3.448,18.13,38.19,1.34
,76|2,,,32.69,1.753,7.892,3.864,16.19,36.28,1.31
,76|3,,,29.31,1.497,7.113,2.47,17.67,41.07,0.86
,76|4,,,32.68,2.131,10.01,2.552,19.5,31.94,1.23
,76|5,,,30.43,2.551,6.732,2.582,20.53,36.3,0.86
,76|6,,,35.58,1.709,6.747,3.598,17.72,33.73,0.89
,76|7,,,28.55,1.96,7.951,3.587,19.11,37.61,1.22
,76|8,,,29.45,1.396,5.718,3.125,20.94,37.69,1.66
,76|9,,,27.58,1.809,5.834,2.939,19.99,40.47,1.35
77,77|1,,,33.17,1.552,7.435,4,21.36,31.48,0.98
,77|10,,,32.76,1.612,7.416,2.999,19.96,33.73,1.51
,77|11,,,36.59,2.1,7.189,3.675,20.43,29.03,0.96
,77|2,,,30.16,1.689,7.074,5.068,19.07,35.86,1.05
,77|3,,,30.54,0.992,7.624,2.663,19.26,37.75,1.14
,77|4,,,28.5,1.68,6.092,3.571,21.7,37.32,1.12
,77|5,,,29.3,1.496,6.295,3.25,19.6,39,1.03
,77|6,,,29.25,1.008,7.062,3.56,21.83,36.61,0.65
,77|7,,,30.98,1.781,6.329,3.703,20.67,35.34,1.17
,77|8,,,29.69,1.572,8.168,3.417,19.17,36.87,1.09
,77|9,,,32.15,1.708,7.441,4.138,21.48,32.15,0.91
78,78|1,,,29.44,2.034,7.045,4.366,15.6,40.95,0.54
,78|10,,,31.27,1.459,6.695,4.12,17.56,38.14,0.74
,78|11,,,22.07,1.353,4.502,2.55,13.38,55.51,0.62
,78|12,,,31.17,1.556,7.672,4.41,16.56,37.5,1.11
,78|2,,,32.68,1.826,8.828,5.544,14.8,35.09,1.21
,78|3,,,35.74,1.658,8.294,4.458,15.47,33.61,0.75
,78|4,,,30.91,2.098,8.983,5.323,15.66,36.11,0.89
,78|5,,,33.76,2.227,8.722,4.392,16.22,33.69,0.97
,78|6,,,31.65,1.864,9.246,5.928,16.59,33.81,0.89
,78|7,,,33.5,1.616,7.407,4.309,15.65,36.39,1.11
,78|8,,,31.28,1.372,6.586,3.128,20.74,36.05,0.82
,78|9,,,28,4.79,6.452,3.916,16.9,39.22,0.7
79,79|1,,,33.3,1.799,6.615,3.472,16.24,37.69,0.86
,79|2,,,29.84,1.853,6.517,3.258,16.99,40.7,0.83
,79|3,,,34.52,1.389,5.825,3.42,18.81,34.95,1.06
80,80|1,,,31.27,1.213,7.745,3.063,18.43,37.63,0.63
,80|2,,,24.18,1.48,10.56,4.985,15.05,43.23,0.49
,80|3,,,29.07,1.491,20.22,1.957,20.13,26.09,1.02
,80|4,,,41.47,1.189,7.932,2.776,14.95,30.99,0.67
,80|5,,,28.74,1.301,8.134,1.409,22.55,36.55,1.3
81,81|1,,,36.11,2.386,7.12,2.856,15.37,35.21,0.93
,81|2,,,34.97,2.687,6.981,2.359,15.37,36.67,0.95
,81|3,,,35.42,2.822,5.839,2.59,15.11,36.77,1.43
82,82|1,,,31.85,5.261,8.187,3.311,15.78,35.03,0.56
,82|2,,,29.61,18.41,5.91,2.541,15.76,26.64,1.11
83,83|1,,,36.18,2.232,6.853,4.465,15.62,33.85,0.88
,83|2,,,34.42,1.315,7.526,3.105,18.89,33.21,1.52
,83|3,,,37.12,2.355,7.028,3.289,18.2,30.57,1.42
,83|4,,,36.01,2.022,7.078,3.82,19.6,30.5,0.95
,83|5,,,36.89,1.834,6.462,3.668,20.13,30.17,0.82
,83|6,,,32.39,1.343,6.547,3.618,21.7,33.32,1.06
,83|7,,,35,1.441,5.446,2.963,20.3,33.48,1.36
,83|8,,,33.73,2.108,5.17,3.012,17.82,37.09,1.05
84,84|1,,,31.29,2.168,6.971,3.446,17.38,37.68,1.04
,84|2,,,29.55,1.874,6.625,3.4,19.09,37.96,1.48
,84|3,,,33.73,2.415,7.487,3.381,17.71,34.29,0.96
,84|4,,,34.03,2.897,7.17,3.634,19.49,31.63,1.12
,84|5,,,33.01,2.813,7.516,3.56,15.95,35.73,1.4
85,85|1,,,34.49,1.718,6.684,4.163,15.54,36.82,0.57
,85|2,,,36.89,1.884,6.439,4.527,15.32,33.99,0.92
,85|3,,,36.55,1.938,5.254,4.636,18.88,31.69,1.03
,85|4,,,32.37,1.17,5.503,4.742,13.11,42.09,0.99
,85|5,,,41.13,2.18,5.717,3.619,16.57,29.82,0.94
86,86|1,,,31.94,1.551,7.607,4.504,19.56,33.68,1.13
,86|2,,,28.6,1.989,8.02,4.858,16.79,38.86,0.85
,86|3,,,31.79,2.173,6.358,3.75,20.21,34.67,1.03
,86|4,,,30.52,1.939,7.313,6.371,21.77,31.02,1.05
87,87|1,,,42.48,2.29,5.414,2.582,18.82,27.53,0.87
,87|2,,,36.69,1.532,5.328,2.708,17.46,35.25,1.01
,87|3,,,38.44,1.478,5.143,3.246,19.25,31.53,0.9
88,88|1,,,30.69,2.468,6.265,3.924,19.05,36.7,0.88
,88|2,,,35.16,2.484,5.798,3.012,19.8,32.75,0.97
,88|3,,,32.81,2.417,6.303,3.022,19.08,35.06,1.29
,88|4,,,38.29,2.404,5.52,3.116,19.05,29.91,1.69
89,89|1,,,32.25,2,6.765,3.716,21.58,31.91,1.76
,89|2,,,30.81,1.482,7.332,4.212,23.01,31.27,1.87
,89|3,,,26.19,1.597,8.626,2.396,19.16,41.21,0.79
90,90|1,,,33.1,2.435,5.327,3.348,20.31,34.62,0.83
,90|2,,,32.44,2.844,4.711,3.111,20.97,35.37,0.53
91,91|1,,,54.62,1.424,3.361,2.667,12.67,24.07,1.16
,91|10,,,36.29,1.76,4.614,3.377,25.21,27.87,0.85
,91|2,,,35.18,1.188,6.34,4.447,18.14,33.68,1.01
,91|3,,,31.4,1.852,5.558,3.056,17.87,39.04,1.2
,91|4,,,31.72,1.815,8.042,3.797,19.51,34.01,1.08
,91|5,,,30.93,1.726,9.288,4.257,16.07,36.61,1.1
,91|6,,,29.61,1.546,7.469,3.867,16.28,40.06,1.14
,91|7,,,35.07,1.618,5.568,2.808,19.8,33.98,1.14
,91|8,,,33.83,1.765,7.094,4.044,18.87,33.54,0.83
,91|9,,,37.59,1.129,5.341,3.338,22.7,28.86,1.02
92,92|1,,,26.99,1.292,6.506,3.922,19.88,40.05,1.33
,92|10,,,31.73,1.828,9.712,5.127,14.49,36.08,1.02
,92|11,,,26.38,1.618,9.569,4.41,15.21,41.93,0.86
,92|12,,,30.66,2.129,8.179,4.542,16.58,36.97,0.92
,92|13,,,33.43,1.826,8.82,5.532,14.83,34.55,0.99
,92|2,,,29.59,2.169,9.632,5.235,15.62,36.7,1.04
,92|3,,,33.5,1.8,9.305,4.956,15.96,33.22,1.23
,92|4,,,28.72,1.864,8.156,4.252,19.02,36.99,0.99
,92|5,,,30.62,1.492,8.519,4.322,17,37.06,0.96
,92|6,,,41.48,1.945,8.414,4.863,14.73,27.38,1.16
,92|7,,,37.56,1.752,9.307,6.114,13.14,31.11,1
,92|8,,,34.48,2.646,8.323,4.833,14.19,34.67,0.84
,92|9,,,39.95,0.962,11.43,4.244,12.79,30.05,0.56
93,93|1,,,26.04,1.711,7.403,2.38,18.41,42.78,1.26
,93|10,,,27.28,3.159,5.799,2.156,21.37,39.47,0.74
,93|11,,,30.46,2.075,5.93,3.854,25.72,31.06,0.88
,93|12,,,30.88,1.13,6.372,3.956,22.55,34.06,1.02
,93|2,,,25.79,1.758,4.69,2.428,16.7,47.9,0.71
,93|3,,,31.22,2.225,6.708,4.231,19.18,35.36,1.06
,93|4,,,25.74,2.252,5.276,1.158,22.2,42.34,1.02
,93|5,,,26.51,1.724,5.911,1.806,24.13,38.99,0.9
,93|6,,,26.08,1.814,6.227,3.096,18.57,42.84,1.35
,93|7,,,18.76,1.475,7.339,3.277,14.81,53.27,1.05
,93|8,,,28.49,1.601,8.005,3.568,18.38,38.79,1.14
,93|9,,,25.25,1.514,6.888,3.179,18.14,43.85,1.16
94,94|1,,,33.06,1.555,7.543,4.052,19.22,33.25,1.3
,94|10,,,24.87,1.465,9.462,3.724,16.78,42.67,1
,94|11,,,25.25,1.836,9.13,3.889,18.58,40.43,0.86
,94|2,,,28.86,2.026,7.756,3.004,21.59,35.29,1.46
,94|3,,,30.34,2.773,6.606,3.221,24.46,31.93,0.65
,94|4,,,33.28,2.653,6.785,3.795,18.23,34.46,1.2
,94|5,,,33.09,1.738,8.243,5.515,17.02,33.6,0.95
,94|6,,,34.79,1.64,8.305,5.456,13.12,35.71,0.96
,94|7,,,32.15,1.955,7.61,3.361,18.49,35.94,0.48
,94|8,,,34.06,1.911,7.718,3.871,16.24,35.23,0.98
,94|9,,,36.41,1.852,6,2.735,18.32,33.85,1.23
95,95|1,,,30.17,1.77,8.52,4.094,18.73,35.52,1.18
,95|10,,,31.45,1.938,7.242,3.502,19.68,35.32,0.85
,95|2,,,32.09,1.79,8.706,3.58,17.94,34.98,0.89
,95|3,,,31.3,1.734,7.054,4.144,19.72,35.06,0.97
,95|4,,,32.22,1.714,7.269,3.936,18.57,35.36,0.95
,95|5,,,29.83,1.378,6.136,2.445,24.49,34.54,1.15
,95|6,,,34.07,2.006,8.063,4.124,19.13,31.99,0.63
,95|7,,,34.85,1.759,8.033,3.251,18.66,32.55,0.87
,95|8,,,37.6,1.832,4.532,2.603,24.59,27.96,0.86
,95|9,,,32.16,1.329,5.635,2.339,30.83,26.68,1.01
