Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,18|3,,,27.94,1.938,5.414,2.673,29.74,31.61,0.66
19,19|1,,,36.93,1.93,8.47,3.238,14.23,34.5,0.68
,19|2,,,39.06,1.467,8.35,2.935,15.63,31.52,1.01
21,21|1,,,33.09,1.465,8.464,4.937,24.74,26.42,0.86
,21|2,,,26.01,1.943,9.795,4.275,24.3,32.8,0.85
,21|3,,,28.56,1.961,7.511,3.373,28.44,29.28,0.86
,21|4,,,25.88,4.809,5.752,2.687,28.38,31.4,1.08
,21|5,,,28.31,1.724,5.721,3.197,32.6,26.79,1.64
22,22|1,,,32.59,2.023,4.265,4.137,16.18,39.9,0.89
,22|2,,,33.91,1.839,5.238,3.701,14.74,39.56,0.99
,22|3,,,38.54,1.861,4.124,3.503,16.09,35.03,0.83
,22|4,,,31.81,1.478,4.027,3.713,15.16,43.04,0.75
,22|5,,,31.97,1.894,4.912,4.543,14.1,41.3,1.26
23,23|1,,,31.58,1.225,4.751,1.882,18.91,40.97,0.65
24,24|1,,,32.23,1.79,6.126,2.513,21.3,35.56,0.47
,24|2,,,35.77,2.561,6.141,3.055,17.87,33.76,0.83
,24|3,,,33.43,1.745,6.896,2.4,18.76,35.31,1.44
,24|4,,,34.5,1.931,5.378,3.358,17.47,36.07,1.27
25,25|1,,,30.6,1.978,4.97,4.97,19.05,37.78,0.64
,25|2,,,28.4,2.019,6.388,4.149,18.79,39.23,1
,25|3,,,38.56,1.906,7.111,1.906,19.79,29.61,1.09
,25|4,,,39.3,1.572,5.839,3.425,22.12,26.5,1.23
,25|5,,,32.11,2.408,6.35,3.941,18.46,35.4,1.31
26,26|1,,,31.58,2.051,6.756,4.457,17.58,36.82,0.74
,26|2,,,32.98,1.923,6.176,3.402,18.56,35.72,1.22
,26|3,,,28.39,2.333,6.361,4.481,14.6,42.58,1.52
,26|4,,,34.16,1.993,4.889,3.986,18.96,34.56,1.43
27,27|1,,,30.41,2.749,6.643,4.81,19.35,34.99,1.03
,27|2,,,32.96,1.874,6.487,3.988,18.74,34.26,1.68
,27|3,,,30.36,1.404,6.807,4.213,20.15,36.52,0.54
,27|4,,,28.92,2.699,6.397,3.106,21,36.87,0.99
,27|5,,,30.31,2.25,6.505,3.436,20.37,35.84,1.26
28,28|1,,,32.57,2.342,6.342,3.927,17.54,36.5,0.75
,28|2,,,27.1,1.986,5.298,3.413,16.25,44.67,1.27
,28|3,,,35.03,3.455,5.949,2.93,19.94,31.62,1.04
