Region,Dept,SUM of Total des votes exprimés,SUM of Total votant,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
DOM TOM,971,3998,4156,2969,62,161,24,323,440,19,74.26,1.55,4.03,0.60,8.08,11.01,0.48
DOM TOM,972,2475,2535,1659,46,113,26,267,343,21,67.03,1.86,4.57,1.05,10.79,13.86,0.85
DOM TOM,973,320,326,175,11,14,9,34,76,1,54.69,3.44,4.38,2.81,10.63,23.75,0.31
DOM TOM,974,11707,12551,3961,355,607,188,4763,1623,210,33.83,3.03,5.18,1.61,40.69,13.86,1.79
DOM TOM,975,270,274,82,144,7,3,8,26,0,30.37,53.33,2.59,1.11,2.96,9.63,0.00
DOM TOM,976,1765,1783,1497,93,33,9,49,71,13,84.82,5.27,1.87,0.51,2.78,4.02,0.74
DOM TOM,987,228,240,90,10,25,13,25,61,4,39.47,4.39,10.96,5.70,10.96,26.75,1.75
DOM TOM,988,1384,1421,1051,32,35,25,82,145,14,75.94,2.31,2.53,1.81,5.92,10.48,1.01
CORSE,2A,1707,1723,726,50,96,39,260,517,19,42.53,2.93,5.62,2.28,15.23,30.29,1.11
CORSE,2B,0,0,0,0,0,0,0,0,0,,,,,,,
